popularity_rank,returned_spotify_id,wikidata_qid,spotify_name,monthly_listeners,followers,origin_cluster,origin_resolution,spotify_biography_present,biography_keyword_review,matching_musicbrainz_person,other_person_ids_in_musicbrainz_links,eligibility_review,eligibility_source_url,final_status,final_origin,manual_status,review_priority,mapping_tier,fua_code
72,3XHO7cRUPCLOr6jwp8vsx5,Q47996,alt-J,8110938,3499216,Leeds,reported_place,True,False,,,,,confirmed,Leeds,not_reviewed,,strict,UK003F
73,1A92IAcd7A6npCA33oGM5i,Q289622,The Proclaimers,8100195,438174,Auchtermuchty,reported_place,True,False,,,,,confirmed,Auchtermuchty,not_reviewed,,excluded_no_defensible_fua,
74,4QTVePrFu1xuGM9K0kNXkk,Q247259,Dexys Midnight Runners,7999321,384886,Birmingham,reported_place,True,False,,,,,confirmed,Birmingham,not_reviewed,,strict,UK002F
75,1SQRv42e4PjEYfPhS0Tk9E,Q188713,The Kinks,7864488,2958309,London,reported_place,True,False,,,,,confirmed,London,not_reviewed,,strict,UK001F
76,3JsMj0DEzyWc0VDlHuy9Bx,Q176457,Supertramp,7695790,4214119,London,reported_place,True,False,,,,,confirmed,London,not_reviewed,,strict,UK001F
77,5cIc3SBFuBLVxJz58W2tU9,Q21452721,Oh Wonder,7552797,1128715,London,reported_place,True,False,,,,,confirmed,London,not_reviewed,,strict,UK001F
78,2nm38smINjms1LtczR0Cei,Q65052503,Goodboys,7292613,130149,London,reported_place,True,False,,,,,confirmed,London,not_reviewed,,strict,UK001F
79,2NhdGz9EDv2FeUw6udu2g1,Q34918,The Wanted,7143333,2480552,London,reviewed_override,True,False,,,,,unresolved,London,not_reviewed,medium,strict,UK001F
80,6kz53iCdBSqhQCZ21CoLcc,Q50037,Culture Club,7076755,1913999,London,reported_place,True,False,,,,,confirmed,London,not_reviewed,,strict,UK001F
81,568ZhdwyaiCyOGJRtNYhWf,Q101505,Deep Purple,6998809,6229490,Hertford,reviewed_multi_place_rule,True,False,,,,,confirmed,Hertford,confirmed,high,strict,UK001F
82,1GLtl8uqKmnyCWxHmw9tL4,Q211768,The Kooks,6950019,2737101,Brighton,reported_place,True,False,,,,,confirmed,Brighton,not_reviewed,,strict,UK515F
83,3K2zB87GZv1krx031en5VA,Q200002,La Roux,6858904,712440,London,reported_place,True,False,,,,,confirmed,London,confirmed,high,strict,UK001F
84,6i6WlGzQtXtz7GcC5H5st5,Q169145,10cc,6808182,952868,Manchester,editorial_city_cluster,True,False,,,,,confirmed,Stockport,not_reviewed,,strict,UK008F
85,240wlM8vDrf6S4zCyzGj2W,Q21008079,CamelPhat,6543464,572358,Liverpool,reported_place,True,False,,,,,confirmed,Liverpool,not_reviewed,,strict,UK006F
86,1XgFuvRd7r5g0h844A5ZUQ,Q152066,Take That,6539015,1517488,Manchester,reported_place,True,False,,,,,confirmed,Manchester,not_reviewed,,strict,UK008F
87,3UbyYnvNIT5DFXU4WgiGpP,Q189965,Whitesnake,6249726,3532823,Middlesbrough,reported_place,True,False,,,,,confirmed,Middlesbrough,confirmed,high,strict,UK559F
